,g,Err_g,r,Err_r,i,Err_i,z,Err_z,extinction_i,w1,w1_sig,w2,w2_sig,psfMag_g,psfMag_r,psfMag_i,psfMag_z,index,g-r,r-i,i-z,z-w1,w1-w2,max_pis,sigs,PhotoZ,Mean_PhotoZ,Mean_delta
0,19.73336,0.01778693,18.41077,0.009410339,17.91125,0.00853188,17.47508,0.02122748,0.07824799,14.525,0.026000000000000002,14.238,0.04,20.503829999999997,19.255489999999998,18.746920000000003,18.27528,0,1.3225900000000017,0.4995200000000004,0.4361700000000006,2.950079999999998,0.2870000000000008,0.936952531337738,0.08817839622497559,0.25328749342629936,0.3626789152622223,0.10703384876251221
1,20.92505,0.04204116,19.895120000000002,0.02370757,19.50831,0.02502023,18.968729999999997,0.05637602,0.07420702,15.532,0.09699999999999999,14.950999999999999,0.11900000000000001,21.361079999999998,20.4664,20.12022,19.41356,1,1.0299299999999967,0.38681000000000054,0.5395800000000044,3.436729999999997,0.5810000000000013,0.940891683101654,0.08463996648788452,0.3780164892163982,0.49546384811401367,0.10134986788034439
2,20.01146,0.01687758,18.59812,0.008701482,17.34187,0.005650423000000001,16.6769,0.009908465,0.07783609,14.29,0.023,14.107999999999999,0.057,20.34893,19.00449,17.7634,17.09042,2,1.413339999999998,1.2562500000000014,0.6649700000000003,2.3869000000000007,0.18200000000000038,0.8261597752571106,0.46128952503204346,8.894762364649947e-05,1.1280468702316284,0.43137845396995544
3,19.42165,0.02089685,18.27287,0.01208981,17.72458,0.01051875,17.31484,0.02866987,0.08771313,14.392000000000001,0.02,13.982999999999999,0.037000000000000005,21.06948,20.026239999999998,19.48368,18.94471,3,1.1487799999999986,0.5482900000000015,0.4097399999999993,2.922839999999999,0.4090000000000025,0.9763750433921814,0.09835302829742432,0.22404391560200582,0.2759809195995331,0.10535971820354462
4,19.7538,0.0212463,18.50591,0.01137017,17.9999,0.01026948,17.56663,0.02674146,0.08388014,14.69,0.04,14.356,0.105,20.85388,19.68797,19.169710000000002,18.70512,4,1.2478899999999982,0.5060099999999998,0.43327000000000027,2.8766300000000005,0.33399999999999963,0.95844566822052,0.0868598222732544,0.25484013225022795,0.33242374658584595,0.09960654377937317
5,20.28379,0.03467669,19.55414,0.02890787,19.17328,0.03008483,18.951710000000002,0.09089079,0.08702504,16.014,0.076,15.637,0.191,21.68365,21.02329,20.69896,20.31878,5,0.7296499999999995,0.380860000000002,0.22156999999999627,2.9377100000000027,0.3769999999999989,0.9551973342895508,0.14556288719177246,0.17669706577657496,0.34355536103248596,0.15874791145324707
6,18.67644,0.01269172,17.79758,0.008544487,17.34799,0.008520055,17.03746,0.02164715,0.08357262,14.693,0.046,14.597999999999999,0.061,20.37734,19.67561,19.21503,18.771420000000003,6,0.8788599999999995,0.4495900000000006,0.31053,2.3444599999999998,0.09500000000000064,0.932503342628479,0.16297197341918945,0.09861134508722345,0.3096347451210022,0.18413808941841125
7,19.85294,0.02241811,19.761,0.02627059,19.75016,0.03862686,20.22196,0.2105967,0.07752743,15.693,0.086,15.637,0.272,20.59976,20.590410000000002,20.558670000000003,20.903029999999998,7,0.09194000000000102,0.010839999999998184,-0.4717999999999982,4.52896,0.05599999999999916,0.9568283557891846,0.1861741542816162,0.3556775668840659,0.48348650336265564,0.1948716938495636
8,17.096829999999997,0.005787781999999999,16.161839999999998,0.004135736,15.66885,0.003981121,15.303429999999999,0.008075659,0.07904746,13.187999999999999,0.013999999999999999,13.065999999999999,0.032,19.26233,18.34958,17.8183,17.33292,8,0.9349899999999991,0.49298999999999715,0.3654200000000021,2.11543,0.12199999999999989,0.971495509147644,0.1603541374206543,0.08857957134147058,0.1938214749097824,0.17015807330608368
9,18.800079999999998,0.009830236,17.81237,0.006620406999999999,17.391,0.0064370140000000005,17.049,0.015334100000000002,0.0793392,14.619000000000002,0.054000000000000006,14.537,0.055999999999999994,19.509120000000003,18.56063,18.17993,17.80419,9,0.9877099999999963,0.42137000000000313,0.34199999999999875,2.429999999999998,0.08200000000000074,0.8606970310211182,0.1187204122543335,0.16847637743183494,0.42905163764953613,0.16072840988636017
10,18.96264,0.01183274,18.044529999999998,0.008070208,17.62094,0.008104813,17.287370000000003,0.01855797,0.08282796,14.838,0.052000000000000005,14.811,0.10099999999999999,19.95597,19.05718,18.56569,18.22931,10,0.9181100000000022,0.42358999999999725,0.33356999999999815,2.4493700000000036,0.026999999999999247,0.8839707970619202,0.12167215347290039,0.1503675706846154,0.38055914640426636,0.157123863697052
11,20.40824,0.02544152,18.99377,0.01270812,18.49342,0.01186096,18.122020000000003,0.03090661,0.06921002,15.394,0.07,15.344000000000001,0.25,21.11402,19.69715,19.21892,18.815820000000002,11,1.414469999999998,0.500350000000001,0.37139999999999773,2.7280200000000026,0.049999999999998934,0.8637262582778931,0.08352839946746826,0.22735392015482123,0.42232975363731384,0.12190670520067215
12,19.41082,0.01698774,18.737379999999998,0.01347652,18.319960000000002,0.01352691,18.13968,0.04122741,0.08583149,15.855,0.11699999999999999,15.392999999999999,0.163,20.789920000000002,20.111420000000003,19.65305,19.44173,12,0.6734400000000029,0.41741999999999635,0.18028000000000333,2.284679999999998,0.4620000000000015,0.9098853468894958,0.16245895624160767,0.11159559676779221,0.44462355971336365,0.19171756505966187
13,20.36807,0.02330512,19.56899,0.01658547,19.15644,0.01695906,18.984820000000003,0.04763481,0.08375879,15.655999999999999,0.125,15.445,0.207,20.69332,19.96519,19.52589,19.321089999999998,13,0.79908,0.41254999999999953,0.17161999999999722,3.328820000000004,0.21099999999999852,0.8688779473304749,0.1370605230331421,0.1964672103598587,0.5575738549232483,0.17507770657539368
